customer_id,total_orders,total_amount,avg_order_amount,first_order_date,last_order_date
C0001,5,3305.76,661.15,2024-08-05,2024-09-09
C0002,1,73.18,73.18,2024-09-08,2024-09-08
C0003,4,2317.65,579.41,2024-07-07,2024-09-13
C0004,1,795.42,795.42,2024-07-27,2024-07-27
C0005,2,1026.01,513.0,2024-08-23,2024-09-03
C0006,1,258.47,258.47,2024-08-10,2024-08-10
C0007,2,604.76,302.38,2024-07-02,2024-09-13
C0008,3,1869.62,623.21,2024-09-07,2024-09-10
C0009,5,2842.43,568.49,2024-08-19,2024-09-03
C0010,3,963.39,321.13,2024-07-04,2024-08-01
C0012,1,588.78,588.78,2024-07-11,2024-07-11
C0013,2,1655.35,827.68,2024-07-16,2024-07-17
C0014,3,1402.26,467.42,2024-07-09,2024-08-31
C0015,2,511.63,255.82,2024-08-04,2024-09-21
C0016,1,801.29,801.29,2024-07-26,2024-07-26
C0017,3,963.33,321.11,2024-09-07,2024-09-25
C0018,4,994.49,248.62,2024-08-23,2024-09-09
C0019,4,1907.9,476.98,2024-07-27,2024-09-29
C0020,5,2073.43,414.69,2024-07-02,2024-09-24
C0021,4,1737.56,434.39,2024-07-03,2024-09-23
C0022,2,1504.26,752.13,2024-08-10,2024-09-24
C0023,1,298.68,298.68,2024-09-12,2024-09-12
C0024,1,660.31,660.31,2024-07-20,2024-07-20
C0025,2,989.02,494.51,2024-08-27,2024-08-31
C0027,1,314.11,314.11,2024-07-13,2024-07-13
C0028,3,2838.12,946.04,2024-07-09,2024-09-16
C0029,7,3831.58,547.37,2024-07-22,2024-09-07
C0030,5,1420.68,284.14,2024-07-10,2024-09-27
C0031,3,1160.19,386.73,2024-08-03,2024-08-21
C0032,2,809.43,404.72,2024-07-10,2024-08-21
C0033,3,2174.46,724.82,2024-07-29,2024-09-08
C0034,1,434.06,434.06,2024-09-22,2024-09-22
C0035,2,1528.51,764.26,2024-08-02,2024-09-08
C0036,4,1625.72,406.43,2024-07-10,2024-08-01
C0037,1,730.88,730.88,2024-07-06,2024-07-06
C0038,4,2829.47,707.37,2024-08-18,2024-09-27
C0039,5,2232.68,446.54,2024-07-15,2024-09-11
C0040,3,1098.69,366.23,2024-09-03,2024-09-24
C0041,2,1364.18,682.09,2024-09-01,2024-09-13
C0042,3,1320.13,440.04,2024-07-09,2024-09-01
C0043,5,2982.23,596.45,2024-07-11,2024-09-22
C0044,4,2217.99,554.5,2024-07-30,2024-08-18
C0045,7,4050.5,578.64,2024-07-03,2024-09-15
C0046,2,520.81,260.4,2024-07-20,2024-08-26
C0047,1,404.23,404.23,2024-07-19,2024-07-19
C0048,7,4251.25,607.32,2024-07-12,2024-09-09
C0049,2,977.42,488.71,2024-09-02,2024-09-08
C0050,2,700.68,350.34,2024-08-24,2024-09-05
C0051,3,727.29,242.43,2024-07-06,2024-09-28
C0052,3,1762.9,587.63,2024-07-31,2024-09-07
C0053,4,1134.28,283.57,2024-07-19,2024-09-14
C0054,3,2198.43,732.81,2024-08-29,2024-09-23
C0055,6,2263.19,377.2,2024-07-10,2024-09-10
C0056,4,1780.76,445.19,2024-08-26,2024-09-26
C0057,1,473.36,473.36,2024-09-28,2024-09-28
C0058,4,2039.08,509.77,2024-08-29,2024-09-21
C0059,1,327.22,327.22,2024-08-07,2024-08-07
C0060,1,495.71,495.71,2024-08-07,2024-08-07
