customer_id,city,state,status,created_at,days_since_registration,updated_at
C0001,Campinas,SP,active,2024-01-07,850.0,2026-05-06T15:43:08.358071+00:00
C0002,Londrina,PR,active,2024-01-23,834.0,2026-05-06T15:43:08.358071+00:00
C0003,Londrina,PR,inactive,2024-06-03,702.0,2026-05-06T15:43:08.358071+00:00
C0004,Curitiba,PR,active,2024-05-30,706.0,2026-05-06T15:43:08.358071+00:00
C0006,Belo Horizonte,MG,active,2024-06-03,702.0,2026-05-06T15:43:08.358071+00:00
C0007,Uberlândia,MG,active,2024-01-21,836.0,2026-05-06T15:43:08.358071+00:00
C0008,Rio de Janeiro,RJ,inactive,2024-07-16,659.0,2026-05-06T15:43:08.358071+00:00
C0009,Curitiba,PR,active,2024-06-11,694.0,2026-05-06T15:43:08.358071+00:00
C0010,Niterói,RJ,blocked,2024-06-28,677.0,2026-05-06T15:43:08.358071+00:00
C0011,Rio de Janeiro,RJ,active,2024-02-11,815.0,2026-05-06T15:43:08.358071+00:00
C0012,São Paulo,SP,active,2024-02-28,798.0,2026-05-06T15:43:08.358071+00:00
C0013,Salvador,BA,inactive,2024-08-12,632.0,2026-05-06T15:43:08.358071+00:00
C0014,Curitiba,PR,active,2024-02-06,820.0,2026-05-06T15:43:08.358071+00:00
C0016,Campinas,SP,inactive,2024-07-12,663.0,2026-05-06T15:43:08.358071+00:00
C0017,Campinas,SP,active,2024-04-08,758.0,2026-05-06T15:43:08.358071+00:00
C0018,São Paulo,SP,active,2024-06-23,682.0,2026-05-06T15:43:08.358071+00:00
C0019,Uberlândia,MG,active,2024-02-10,816.0,2026-05-06T15:43:08.358071+00:00
C0020,Campinas,SP,active,2024-08-10,634.0,2026-05-06T15:43:08.358071+00:00
C0021,Santos,SP,active,2024-05-18,718.0,2026-05-06T15:43:08.358071+00:00
C0022,Belo Horizonte,MG,blocked,2024-08-12,632.0,2026-05-06T15:43:08.358071+00:00
C0023,Campinas,SP,active,2024-07-06,669.0,2026-05-06T15:43:08.358071+00:00
C0024,Curitiba,PR,active,2024-05-20,716.0,2026-05-06T15:43:08.358071+00:00
C0025,Londrina,PR,inactive,,,2026-05-06T15:43:08.358071+00:00
C0026,Londrina,PR,active,2024-04-25,741.0,2026-05-06T15:43:08.358071+00:00
C0027,Salvador,BA,active,2024-05-21,715.0,2026-05-06T15:43:08.358071+00:00
C0028,São Paulo,SP,blocked,2024-02-28,798.0,2026-05-06T15:43:08.358071+00:00
C0029,Niterói,RJ,blocked,2024-06-20,685.0,2026-05-06T15:43:08.358071+00:00
C0031,Uberlândia,MG,active,2024-03-31,766.0,2026-05-06T15:43:08.358071+00:00
C0032,Uberlândia,MG,active,2024-07-05,670.0,2026-05-06T15:43:08.358071+00:00
C0033,Curitiba,PR,active,2024-02-05,821.0,2026-05-06T15:43:08.358071+00:00
C0034,Campinas,SP,active,2024-04-23,743.0,2026-05-06T15:43:08.358071+00:00
C0035,Rio de Janeiro,RJ,inactive,2024-02-12,814.0,2026-05-06T15:43:08.358071+00:00
C0036,São Paulo,SP,inactive,2024-02-12,814.0,2026-05-06T15:43:08.358071+00:00
C0037,Uberlândia,MG,active,2024-06-27,678.0,2026-05-06T15:43:08.358071+00:00
C0038,Salvador,BA,blocked,2024-07-07,668.0,2026-05-06T15:43:08.358071+00:00
C0039,Londrina,PR,active,2024-08-23,621.0,2026-05-06T15:43:08.358071+00:00
C0040,Salvador,BA,blocked,2024-01-18,839.0,2026-05-06T15:43:08.358071+00:00
C0041,São Paulo,SP,active,2024-06-07,698.0,2026-05-06T15:43:08.358071+00:00
C0042,Niterói,RJ,active,2024-02-22,804.0,2026-05-06T15:43:08.358071+00:00
C0043,Niterói,RJ,blocked,2024-04-27,739.0,2026-05-06T15:43:08.358071+00:00
C0044,Campinas,SP,active,2024-01-19,838.0,2026-05-06T15:43:08.358071+00:00
C0046,Londrina,PR,active,2024-06-29,676.0,2026-05-06T15:43:08.358071+00:00
C0047,Londrina,PR,active,2024-03-17,780.0,2026-05-06T15:43:08.358071+00:00
C0048,Londrina,PR,active,2024-02-09,817.0,2026-05-06T15:43:08.358071+00:00
C0049,Niterói,RJ,inactive,2024-05-09,727.0,2026-05-06T15:43:08.358071+00:00
C0050,Niterói,RJ,active,2024-01-12,845.0,2026-05-06T15:43:08.358071+00:00
C0051,Curitiba,PR,active,2024-05-21,715.0,2026-05-06T15:43:08.358071+00:00
C0052,Santos,SP,inactive,,,2026-05-06T15:43:08.358071+00:00
C0053,São Paulo,SP,active,2024-03-19,778.0,2026-05-06T15:43:08.358071+00:00
C0054,Campinas,SP,active,2024-03-31,766.0,2026-05-06T15:43:08.358071+00:00
C0055,Santos,SP,inactive,2024-08-13,631.0,2026-05-06T15:43:08.358071+00:00
