order_id,customer_id,order_date,amount,payment_method,status,year,month,quarter
O00001,C0028,2024-09-16 00:00:00,935.42,credit_card,cancelled,2024,9,3
O00002,C0058,2024-09-12 00:00:00,200.82,credit_card,cancelled,2024,9,3
O00003,C0001,2024-09-05 00:00:00,881.16,pix,paid,2024,9,3
O00004,C0028,2024-07-09 00:00:00,902.71,boleto,refunded,2024,7,3
O00005,C0021,2024-09-23 00:00:00,809.41,boleto,refunded,2024,9,3
O00006,C0020,2024-09-24 00:00:00,402.76,debit_card,paid,2024,9,3
O00007,C0036,2024-07-17 00:00:00,202.45,debit_card,paid,2024,7,3
O00008,C0040,2024-09-11 00:00:00,303.38,credit_card,paid,2024,9,3
O00009,C0019,2024-07-27 00:00:00,422.65,boleto,cancelled,2024,7,3
O00010,C0029,2024-08-26 00:00:00,649.96,debit_card,paid,2024,8,3
O00012,C0053,2024-07-31 00:00:00,647.34,pix,paid,2024,7,3
O00013,C0010,2024-07-04 00:00:00,67.75,debit_card,refunded,2024,7,3
O00014,C0055,2024-07-10 00:00:00,446.26,pix,cancelled,2024,7,3
O00015,C0032,2024-08-21 00:00:00,250.69,credit_card,paid,2024,8,3
O00016,C0050,2024-08-24 00:00:00,227.43,debit_card,paid,2024,8,3
O00017,C0036,2024-08-01 00:00:00,873.66,credit_card,cancelled,2024,8,3
O00018,C0009,2024-08-29 00:00:00,642.51,boleto,cancelled,2024,8,3
O00019,C0040,2024-09-03 00:00:00,419.74,debit_card,paid,2024,9,3
O00020,C0048,2024-08-30 00:00:00,441.31,pix,paid,2024,8,3
O00021,C0050,2024-09-05 00:00:00,473.25,pix,paid,2024,9,3
O00023,C0022,2024-08-10 00:00:00,851.05,credit_card,paid,2024,8,3
O00024,C0010,2024-07-30 00:00:00,379.31,pix,paid,2024,7,3
O00025,C0005,2024-08-23 00:00:00,402.03,debit_card,cancelled,2024,8,3
O00027,C0045,2024-07-03 00:00:00,817.48,debit_card,cancelled,2024,7,3
O00028,C0001,2024-08-15 00:00:00,301.22,debit_card,cancelled,2024,8,3
O00029,C0035,2024-09-08 00:00:00,764.88,pix,cancelled,2024,9,3
O00030,C0015,2024-08-04 00:00:00,428.15,credit_card,cancelled,2024,8,3
O00031,C0022,2024-09-24 00:00:00,653.21,debit_card,paid,2024,9,3
O00032,C0054,2024-08-29 00:00:00,875.58,credit_card,cancelled,2024,8,3
O00033,C0038,2024-09-11 00:00:00,638.27,credit_card,cancelled,2024,9,3
O00034,C0009,2024-08-29 00:00:00,193.1,boleto,cancelled,2024,8,3
O00035,C0021,2024-07-28 00:00:00,445.6,boleto,cancelled,2024,7,3
O00036,C0018,2024-08-23 00:00:00,258.35,credit_card,cancelled,2024,8,3
O00037,C0002,2024-09-08 00:00:00,73.18,boleto,paid,2024,9,3
O00038,C0042,2024-07-09 00:00:00,747.64,credit_card,paid,2024,7,3
O00039,C0016,2024-07-26 00:00:00,801.29,pix,paid,2024,7,3
O00040,C0009,2024-08-30 00:00:00,644.25,pix,cancelled,2024,8,3
O00042,C0039,2024-07-15 00:00:00,744.46,pix,paid,2024,7,3
O00043,C0007,2024-09-13 00:00:00,48.75,boleto,refunded,2024,9,3
